I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
38644740.000000,-0.033885,0.265471,0.006676,0.005007,0.000261,0.005457,-2.585462,-0.293660,9.389924,2.005000,9.743794,0.006676,51.875000,-0.002622,-0.003090
38646740.000000,-0.033882,0.265477,0.006675,0.000746,0.001326,-0.000935,-2.602525,-0.296354,9.451889,2.005000,9.808117,0.006675,51.875000,-0.002538,-0.003084
38648740.000000,-0.033881,0.265478,0.006665,-0.002450,-0.001870,-0.006261,-2.612403,-0.232593,9.415070,2.005000,9.773550,0.006665,51.875000,-0.009182,-0.005105
38650756.000000,-0.033874,0.265484,0.006659,0.002876,0.001326,-0.003065,-2.589952,-0.288271,9.373759,2.051000,9.729251,0.006659,51.875000,-0.003130,-0.003967
38652760.000000,-0.033872,0.265488,0.006647,0.000746,0.000261,-0.006261,-2.598035,-0.290965,9.420458,1.958000,9.776475,0.006647,51.875000,-0.002996,-0.003487
38654740.000000,-0.033875,0.265494,0.006646,-0.002450,0.001326,-0.000935,-2.598035,-0.290965,9.420458,2.005000,9.776475,0.006646,51.875000,-0.002998,-0.003481
38656740.000000,-0.033882,0.265479,0.006651,-0.007776,-0.008262,0.001196,-2.573787,-0.250554,9.421355,2.005000,9.769805,0.006651,51.875000,-0.007294,-0.001111
38658744.000000,-0.033876,0.265466,0.006641,0.002876,-0.009327,-0.005196,-2.617792,-0.290067,9.399802,2.005000,9.761827,0.006641,51.875000,-0.003027,-0.006023
38660756.000000,-0.033869,0.265478,0.006636,0.001811,0.003456,-0.003065,-2.614199,-0.272107,9.406089,2.052000,9.766401,0.006636,51.875000,-0.004949,-0.005499
38662776.000000,-0.033869,0.265479,0.006641,-0.004581,-0.000805,0.001196,-2.584564,-0.237083,9.415967,1.958000,9.767118,0.006641,51.875000,-0.008696,-0.002330
38664752.000000,-0.033867,0.265493,0.006652,-0.004581,0.005587,0.004392,-2.584564,-0.237083,9.415967,2.006000,9.767118,0.006652,51.875000,-0.008694,-0.002316
38666756.000000,-0.033880,0.265505,0.006639,-0.005646,0.003456,-0.006261,-2.615995,-0.295456,9.414171,2.004000,9.775344,0.006639,51.875000,-0.002506,-0.005409
38668756.000000,-0.033885,0.265505,0.006635,-0.002450,-0.002935,-0.002000,-2.618690,-0.312519,9.412375,2.005000,9.774866,0.006635,51.875000,-0.000694,-0.005708
38670756.000000,-0.033881,0.265489,0.006644,-0.000319,-0.008262,0.003326,-2.570195,-0.297252,9.419559,2.052000,9.768437,0.006644,51.875000,-0.002335,-0.000758
38672776.000000,-0.033879,0.265489,0.006640,0.000746,-0.000805,-0.002000,-2.585462,-0.308028,9.424049,1.958000,9.777126,0.006640,51.875000,-0.001206,-0.002134
38674756.000000,-0.033884,0.265479,0.006652,-0.004581,-0.006131,0.005457,-2.585462,-0.308028,9.424049,2.005000,9.777126,0.006652,51.875000,-0.001211,-0.002144
38676756.000000,-0.033893,0.265463,0.006642,-0.003515,-0.010392,-0.005196,-2.601627,-0.308028,9.387230,2.005000,9.745944,0.006642,51.875000,-0.001091,-0.004758
38678756.000000,-0.033887,0.265479,0.006634,0.001811,0.004522,-0.004131,-2.647427,-0.279291,9.437520,2.005000,9.805797,0.006634,51.875000,-0.004302,-0.007899
38680756.000000,-0.033881,0.265513,0.006640,-0.000319,0.013044,0.002261,-2.629466,-0.268514,9.407885,2.052000,9.772128,0.006640,51.875000,-0.005348,-0.006922
38682776.000000,-0.033888,0.265529,0.006645,-0.006711,0.004522,0.002261,-2.629466,-0.268514,9.407885,1.958000,9.772128,0.006645,51.875000,-0.005355,-0.006906
38684756.000000,-0.033893,0.265523,0.006639,-0.004581,-0.002935,-0.004131,-2.569297,-0.254146,9.442908,2.005000,9.789504,0.006639,51.875000,-0.006985,-0.000042
38686756.000000,-0.033876,0.265524,0.006638,0.002876,-0.000805,-0.002000,-2.574686,-0.208346,9.381842,2.005000,9.730949,0.006638,51.875000,-0.011673,-0.002252
38688756.000000,-0.033874,0.265524,0.006638,-0.002450,-0.000805,-0.000935,-2.571991,-0.241573,9.383637,2.005000,9.732736,0.006638,51.875000,-0.008135,-0.001915
38690756.000000,-0.033882,0.265527,0.006636,-0.004581,0.000261,-0.000935,-2.590850,-0.306232,9.411477,2.052000,9.766380,0.006636,51.875000,-0.001355,-0.002969
38692776.000000,-0.033888,0.265522,0.006620,-0.001385,-0.004001,-0.008392,-2.590850,-0.306232,9.411477,1.958000,9.766380,0.006620,51.875000,-0.001361,-0.002975
38694756.000000,-0.033889,0.265530,0.006614,-0.000319,0.003456,-0.003065,-2.571991,-0.308926,9.401599,2.005000,9.751956,0.006614,51.875000,-0.001042,-0.001368
38696756.000000,-0.033874,0.265542,0.006631,0.002876,0.003456,0.007587,-2.614199,-0.264922,9.428540,2.005000,9.787828,0.006631,51.875000,-0.005783,-0.004826
38698756.000000,-0.033870,0.265540,0.006634,-0.000319,-0.002935,0.001196,-2.597136,-0.288271,9.414171,2.005000,9.770099,0.006634,51.875000,-0.003259,-0.003519
38700768.000000,-0.033863,0.265534,0.006638,0.000746,-0.004001,0.001196,-2.577380,-0.269413,9.401599,2.051000,9.752207,0.006638,51.875000,-0.005214,-0.001930
38702780.000000,-0.033853,0.265534,0.006642,0.001811,-0.000805,0.001196,-2.577380,-0.269413,9.401599,1.959000,9.752207,0.006642,51.875000,-0.005205,-0.001930
38704780.000000,-0.033844,0.265522,0.006636,0.001811,-0.007196,-0.004131,-2.571991,-0.243369,9.376453,2.008000,9.725855,0.006636,51.875000,-0.007894,-0.002111
38706772.000000,-0.033843,0.265510,0.006645,-0.002450,-0.009327,0.003326,-2.629466,-0.282883,9.399802,2.001000,9.764753,0.006645,51.875000,-0.003757,-0.007136
38708772.000000,-0.033855,0.265513,0.006644,-0.004581,-0.000805,0.000131,-2.602525,-0.347542,9.413273,2.006000,9.772595,0.006644,51.875000,0.003049,-0.004048
38710772.000000,-0.033859,0.265513,0.006638,-0.004581,-0.001870,-0.006261,-2.601627,-0.277495,9.429438,1.002000,9.785691,0.006638,51.875000,-0.004439,-0.003584
38712768.000000,-0.033851,0.265513,0.006651,-0.000319,-0.001870,0.003326,-2.601627,-0.277495,9.429438,3.008000,9.785691,0.006651,51.875000,-0.004431,-0.003583
38714764.000000,-0.033840,0.265499,0.006655,0.002876,-0.007196,0.001196,-2.561215,-0.276597,9.398905,2.004000,9.745549,0.006655,51.875000,-0.004420,-0.000433
38716756.000000,-0.033847,0.265496,0.006644,-0.006711,-0.000805,-0.006261,-2.533376,-0.229899,9.354002,2.005000,9.693720,0.006644,51.875000,-0.009275,0.001083
38718772.000000,-0.033867,0.265504,0.006649,-0.009907,0.002391,0.002261,-2.596239,-0.328683,9.410579,2.005000,9.767675,0.006649,51.875000,0.001046,-0.003529
38720756.000000,-0.033870,0.265505,0.006657,-0.005646,-0.001870,0.007587,-2.616894,-0.298150,9.406987,1.003000,9.768748,0.006657,51.875000,-0.002186,-0.005691
38722756.000000,-0.033862,0.265493,0.006663,0.001811,-0.009327,0.002261,-2.616894,-0.298150,9.406987,2.005000,9.768748,0.006663,51.875000,-0.002178,-0.005704
38724756.000000,-0.033856,0.265487,0.006658,0.001811,-0.005066,-0.003065,-2.594442,-0.281985,9.365677,2.004000,9.722477,0.006658,51.875000,-0.003757,-0.004636
38726756.000000,-0.033857,0.265488,0.006652,-0.001385,-0.000805,-0.003065,-2.591748,-0.285577,9.416865,2.052000,9.771186,0.006652,51.875000,-0.003541,-0.002969
38728756.000000,-0.033863,0.265486,0.006659,-0.003515,-0.004001,0.003326,-2.613301,-0.325091,9.405190,1.959000,9.766915,0.006659,51.875000,0.000688,-0.005381
