I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25
115090784.000000,-0.005309,0.256451,0.017511,-0.001955,0.008632,-0.000625,-2.517211,-0.034126,9.487810,1.957000,-0.000693,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115092784.000000,-0.005312,0.256459,0.017512,-0.009412,0.001175,0.000441,-2.495658,-0.025145,9.476136,2.005000,0.000449,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115094784.000000,-0.005346,0.256449,0.017506,-0.007282,-0.007347,-0.002755,-2.494760,-0.070945,9.471646,2.003000,-0.002808,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115096784.000000,-0.005361,0.256455,0.017507,0.001241,0.000110,0.000441,-2.494760,-0.070945,9.471646,2.005000,0.000455,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115098784.000000,-0.005351,0.256465,0.017517,0.002306,0.004371,0.004702,-2.485780,-0.042208,9.461767,2.051000,0.004836,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115100784.000000,-0.005317,0.256459,0.017520,0.004436,-0.002021,0.001506,-2.483085,-0.014369,9.468952,1.957000,0.001568,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115102784.000000,-0.005299,0.256433,0.017521,0.002306,-0.005216,0.000441,-2.466022,-0.028737,9.476136,2.004000,0.000484,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115104784.000000,-0.005311,0.256438,0.017524,0.001241,0.001175,0.001506,-2.490270,-0.066455,9.468952,2.005000,0.001550,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115106784.000000,-0.005320,0.256448,0.017521,0.003371,0.003306,-0.001690,-2.490270,-0.066455,9.468952,2.004000,-0.001765,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115108784.000000,-0.005351,0.256430,0.017513,0.002306,0.001175,-0.003821,-2.456144,-0.090702,9.467155,2.051000,-0.003956,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115110784.000000,-0.005330,0.256409,0.017516,0.000175,0.002241,0.001506,-2.448062,-0.020655,9.459971,1.957000,0.001544,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115112784.000000,-0.005312,0.256387,0.017528,-0.001955,0.001175,0.005767,-2.448062,-0.020655,9.459971,2.004000,0.005955,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115114792.000000,-0.005324,0.256410,0.017533,-0.000890,0.002241,0.002571,-2.507332,-0.061965,9.450991,2.004000,0.002646,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115116784.000000,-0.005329,0.256435,0.017543,0.002306,0.003306,0.004702,-2.507332,-0.061965,9.450991,2.005000,0.004842,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115118784.000000,-0.005339,0.256408,0.017542,0.002306,0.000110,-0.000625,-2.457042,-0.065557,9.514751,1.002000,-0.000646,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115120784.000000,-0.005376,0.256390,0.017550,-0.000890,-0.003086,0.002571,-2.473207,-0.092498,9.460870,3.006000,0.002675,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115122784.000000,-0.005376,0.256383,0.017554,-0.003021,-0.002021,0.003636,-2.475003,-0.046698,9.460870,1.002000,0.003770,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115124816.000000,-0.005359,0.256383,0.017539,0.001241,0.002241,-0.004886,-2.479493,-0.021553,9.477932,3.006000,-0.005063,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115126800.000000,-0.005334,0.256394,0.017535,0.003371,0.008632,-0.001690,-2.479493,-0.021553,9.477932,2.005000,-0.001795,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115128784.000000,-0.005295,0.256390,0.017538,0.002306,0.003306,0.001506,-2.468717,-0.000898,9.465360,2.051000,0.001538,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115130808.000000,-0.005297,0.256376,0.017541,-0.000890,-0.000955,0.001506,-2.471411,-0.047596,9.481524,1.957000,0.001562,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115132808.000000,-0.005317,0.256371,0.017540,0.002306,-0.003086,-0.000625,-2.495658,-0.079926,9.502179,2.009000,-0.000629,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115134848.000000,-0.005341,0.256370,0.017539,0.002306,0.006502,-0.000625,-2.479493,-0.083518,9.522834,1.999000,-0.000682,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115136808.000000,-0.005353,0.256360,0.017555,0.005502,0.002241,0.007897,-2.479493,-0.083518,9.522834,2.004000,0.008152,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115138808.000000,-0.005357,0.256331,0.017558,-0.005151,-0.002021,0.001506,-2.449858,-0.039514,9.469850,2.052000,0.001568,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115140808.000000,-0.005397,0.256312,0.017550,-0.005151,-0.005216,-0.003821,-2.466022,-0.083518,9.445602,1.957000,-0.003921,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115142808.000000,-0.005409,0.256318,0.017543,-0.000890,-0.003086,-0.003821,-2.494760,-0.059271,9.442011,2.004000,-0.003932,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115144808.000000,-0.005389,0.256345,0.017543,0.003371,0.000110,0.000441,-2.526191,-0.029635,9.477932,2.004000,0.000455,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115146784.000000,-0.005373,0.256375,0.017540,0.002306,0.001175,-0.001690,-2.526191,-0.029635,9.477932,2.005000,-0.001754,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115148784.000000,-0.005378,0.256399,0.017541,0.001241,0.000110,0.000441,-2.528885,-0.057475,9.503975,2.050000,0.000455,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115150784.000000,-0.005350,0.256427,0.017544,0.006567,-0.000955,0.001506,-2.539662,-0.027839,9.511160,1.958000,0.001562,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115152784.000000,-0.005324,0.256401,0.017549,-0.000890,0.001175,0.002571,-2.452552,-0.011675,9.494097,2.004000,0.002651,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115154816.000000,-0.005330,0.256395,0.017548,-0.004086,-0.004151,-0.000625,-2.486677,-0.043106,9.459971,2.004000,-0.000623,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115156784.000000,-0.005335,0.256406,0.017536,-0.001955,0.004371,-0.005951,-2.486677,-0.043106,9.459971,2.004000,-0.006176,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115158784.000000,-0.005377,0.256429,0.017534,0.002306,0.009697,-0.000625,-2.491168,-0.109561,9.472544,2.051000,-0.000699,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115160784.000000,-0.005393,0.256473,0.017541,0.000175,0.007567,0.003636,-2.531579,-0.070945,9.486014,1.958000,0.003717,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115162784.000000,-0.005410,0.256482,0.017538,0.000175,0.001175,-0.001690,-2.495658,-0.069149,9.467155,2.004000,-0.001754,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115164816.000000,-0.005439,0.256474,0.017545,0.004436,-0.002021,0.003636,-2.475901,-0.100581,9.447399,2.004000,0.003771,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115166784.000000,-0.005469,0.256486,0.017542,0.005502,0.007567,-0.001690,-2.475901,-0.100581,9.447399,2.004000,-0.001790,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115168784.000000,-0.005474,0.256489,0.017525,0.000175,0.010763,-0.008082,-2.454348,-0.048494,9.447399,2.051000,-0.008416,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115170784.000000,-0.005503,0.256472,0.017528,-0.001955,0.004371,0.001506,-2.446266,-0.083518,9.456379,1.958000,0.001532,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
