I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
50588736.000000,-0.055206,0.525912,0.048442,-0.002131,-0.006392,0.002131,-2.750702,-0.275699,9.393517,3.006000,9.791860,0.048442,0.000000,-0.025865,0.241163
50590736.000000,-0.055197,0.525911,0.048457,0.004261,0.000000,0.007457,-2.727353,-0.299048,9.417764,2.004000,9.809290,0.048457,0.000000,-0.023454,0.244160
50592736.000000,-0.055199,0.525928,0.048465,0.002131,0.009587,0.005326,-2.715678,-0.317907,9.403395,2.005000,9.792845,0.048465,0.000000,-0.021404,0.244932
50594736.000000,-0.055201,0.525949,0.048465,0.004261,0.010653,0.002131,-2.732741,-0.319703,9.391720,2.004000,9.786444,0.048465,0.000000,-0.021173,0.242950
50596764.000000,-0.055200,0.525950,0.048464,0.002131,0.000000,0.000000,-2.743517,-0.273005,9.435724,2.050000,9.830276,0.048464,0.000000,-0.026274,0.243105
50598736.000000,-0.055191,0.525939,0.048474,0.003196,-0.005326,0.004261,-2.743517,-0.273005,9.435724,1.958000,9.830276,0.048474,0.000000,-0.026266,0.243095
50600736.000000,-0.055174,0.525940,0.048487,0.004261,0.001065,0.005326,-2.719270,-0.248758,9.399802,2.004000,9.788391,0.048487,0.000000,-0.028716,0.244431
50602736.000000,-0.055171,0.525931,0.048493,0.002131,-0.001065,0.003196,-2.681552,-0.286475,9.357594,2.004000,9.738448,0.048493,0.000000,-0.024567,0.246970
50604740.000000,-0.055178,0.525935,0.048491,0.002131,0.004261,0.001065,-2.705800,-0.318805,9.397108,2.004000,9.784101,0.048491,0.000000,-0.021265,0.245732
50606768.000000,-0.055170,0.525957,0.048488,0.007457,0.012783,0.000000,-2.709392,-0.291864,9.406987,2.051000,9.793743,0.048488,0.000000,-0.024154,0.245656
50608748.000000,-0.055168,0.525965,0.048483,0.005326,0.006392,-0.001065,-2.709392,-0.291864,9.406987,1.957000,9.793743,0.048483,0.000000,-0.024152,0.245663
50610752.000000,-0.055154,0.525955,0.048488,0.005326,-0.002131,0.002131,-2.695023,-0.256840,9.387230,2.005000,9.769811,0.048488,0.000000,-0.027800,0.246479
50612752.000000,-0.055149,0.525943,0.048500,0.001065,-0.004261,0.005326,-2.711188,-0.277495,9.404293,2.004000,9.791234,0.048500,0.000000,-0.025651,0.245377
50614752.000000,-0.055164,0.525950,0.048502,-0.004261,0.006392,0.002131,-2.708494,-0.300844,9.428540,2.004000,9.814469,0.048502,0.000000,-0.023267,0.246352
50616768.000000,-0.055146,0.525958,0.048511,0.007457,0.009587,0.004261,-2.673470,-0.270311,9.418661,2.050000,9.794473,0.048511,0.000000,-0.026455,0.249493
50618752.000000,-0.055126,0.525966,0.048517,0.009587,0.009587,0.003196,-2.673470,-0.270311,9.418661,1.958000,9.794473,0.048517,0.000000,-0.026435,0.249501
50620752.000000,-0.055113,0.525974,0.048524,0.000000,0.005326,0.002131,-2.712086,-0.206550,9.404293,2.004000,9.789729,0.048524,0.000000,-0.033153,0.245268
50622752.000000,-0.055111,0.525961,0.048533,-0.003196,-0.003196,0.003196,-2.703105,-0.235287,9.422254,2.004000,9.805152,0.048533,0.000000,-0.030144,0.246662
50624752.000000,-0.055108,0.525961,0.048552,0.001065,0.004261,0.009587,-2.686043,-0.310722,9.420458,2.004000,9.800837,0.048552,0.000000,-0.022136,0.248347
50626768.000000,-0.055094,0.525943,0.048582,0.005326,-0.003196,0.013848,-2.667184,-0.326887,9.432132,2.051000,9.807438,0.048582,0.000000,-0.020451,0.250519
50628752.000000,-0.055098,0.525919,0.048577,0.005326,-0.005326,-0.001065,-2.667184,-0.326887,9.432132,1.957000,9.807438,0.048577,0.000000,-0.020455,0.250495
