I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
40752784.000000,0.107364,0.382995,1.831465,-0.896953,-0.054328,3.074353,-2.866549,0.976171,9.711423,2.051000,10.172598,1.831416,0.000000,0.007183,0.097334
40754776.000000,0.107899,0.382528,1.837996,-0.931041,-0.052198,3.120160,-3.399986,0.048494,9.101653,1.957000,9.716086,1.837947,0.000000,0.102571,0.025028
40756776.000000,0.108259,0.382106,1.844678,-0.942759,-0.057524,3.130812,-3.727771,-0.792971,8.953476,2.005000,9.730869,1.844629,0.000000,0.196594,-0.011031
40758776.000000,0.108638,0.381678,1.851303,-0.921454,-0.061785,3.107376,-3.727771,-0.792971,8.953476,2.004000,9.730869,1.851254,0.000000,0.196973,-0.011458
40760776.000000,0.109265,0.381039,1.857963,-0.919323,-0.064981,3.106311,-2.809074,0.466982,9.483320,2.004000,9.901633,1.857914,0.000000,0.060062,0.093391
40762800.000000,0.109779,0.380513,1.864842,-0.938498,-0.063916,3.125486,-3.443092,-0.051188,9.208520,2.062000,9.831294,1.864794,0.000000,0.115338,0.022710
40764796.000000,0.110059,0.380083,1.871249,-0.933172,-0.066046,3.102050,-3.690053,-1.030952,8.882530,1.946000,9.673609,1.871200,0.000000,0.225607,-0.011288
40766776.000000,0.110529,0.379475,1.877796,-0.907605,-0.056459,3.067962,-2.827933,-0.215530,9.381842,2.004000,9.801154,1.877747,0.000000,0.133498,0.086783
40768772.000000,0.111024,0.378877,1.884339,-0.891626,-0.050067,3.064766,-2.827933,-0.215530,9.381842,2.005000,9.801154,1.884290,0.000000,0.133993,0.086185
40770772.000000,0.111600,0.378385,1.890921,-0.907605,-0.050067,3.072223,-3.366758,0.310722,9.150146,2.004000,9.754834,1.890873,0.000000,0.077655,0.026000
40772788.000000,0.112107,0.377912,1.897642,-0.921454,-0.060720,3.070092,-3.664010,0.070047,9.165414,2.051000,9.870901,1.897593,0.000000,0.104464,-0.002382
40774780.000000,0.112519,0.377346,1.904048,-0.915062,-0.064981,3.078614,-3.161107,-0.343950,9.422254,1.957000,9.944333,1.903999,0.000000,0.149007,0.053853
40776784.000000,0.113138,0.376855,1.910648,-0.903344,-0.063916,3.079679,-3.504159,0.499311,8.955272,2.004000,9.629399,1.910599,0.000000,0.057439,0.004401
40778788.000000,0.113742,0.376361,1.917280,-0.912932,-0.061785,3.089267,-3.504159,0.499311,8.955272,2.008000,9.629399,1.917232,0.000000,0.058044,0.003907
40780788.000000,0.114225,0.375777,1.923915,-0.936367,-0.056459,3.111638,-3.161107,0.107765,9.498587,2.001000,10.011362,1.923866,0.000000,0.102880,0.054528
40782788.000000,0.114405,0.375222,1.930613,-0.932106,-0.054328,3.092463,-3.192538,-1.350655,9.080100,2.051000,9.719300,1.930565,0.000000,0.262071,0.040535
40784788.000000,0.114885,0.374743,1.936971,-0.892692,-0.058590,3.050917,-3.583186,-0.025145,9.296528,1.957000,9.963197,1.936923,0.000000,0.117590,0.006859
40786788.000000,0.115406,0.374125,1.943470,-0.889496,-0.059655,3.046656,-2.997663,0.156259,9.633293,2.004000,10.090131,1.943421,0.000000,0.099186,0.072483
40788788.000000,0.115891,0.373519,1.949975,-0.906540,-0.052198,3.049852,-2.997663,0.156259,9.633293,2.004000,10.090131,1.949927,0.000000,0.099671,0.071876
40790788.000000,0.116159,0.373066,1.956404,-0.900148,-0.051133,3.029612,-3.530202,-0.888163,8.851997,2.004000,9.571259,1.956355,0.000000,0.216159,-0.004688
40792788.000000,0.116762,0.372566,1.963035,-0.888431,-0.055394,3.027482,-3.655030,0.605280,9.456379,2.051000,10.156216,1.962986,0.000000,0.052842,0.004425
40794788.000000,0.117324,0.371941,1.969434,-0.917193,-0.063916,3.063701,-2.936596,0.713943,9.367473,1.958000,9.842909,1.969385,0.000000,0.041256,0.068982
40796788.000000,0.117511,0.371440,1.975981,-0.941694,-0.064981,3.092463,-3.486198,-1.038136,8.735251,2.004000,9.462342,1.975932,0.000000,0.235800,-0.005878
40798788.000000,0.117726,0.370953,1.982487,-0.918258,-0.059655,3.073288,-3.486198,-1.038136,8.735251,2.004000,9.462342,1.982439,0.000000,0.236016,-0.006365
40800788.000000,0.118072,0.370379,1.988949,-0.894822,-0.060720,3.045591,-3.238338,-0.528049,9.411477,2.004000,9.967024,1.988900,0.000000,0.174120,0.039467
40802788.000000,0.118534,0.369746,1.995583,-0.900148,-0.055394,3.045591,-2.980600,0.088008,9.475238,2.051000,9.933371,1.995534,0.000000,0.109246,0.064991
40804788.000000,0.118770,0.369320,2.001847,-0.910801,-0.053263,3.025351,-3.752916,-0.781296,8.967844,1.957000,9.752796,2.001798,0.000000,0.205672,-0.025676
40806788.000000,0.119203,0.368789,2.008226,-0.893757,-0.059655,2.994458,-3.406272,0.145483,9.297426,2.005000,9.902827,2.008178,0.000000,0.103556,0.017648
40808788.000000,0.119668,0.368258,2.014620,-0.878843,-0.057524,3.002980,-3.406272,0.145483,9.297426,2.004000,9.902827,2.014572,0.000000,0.104021,0.017117
40810808.000000,0.120276,0.367619,2.021145,-0.916127,-0.066046,3.051983,-3.080283,1.099203,9.524631,2.004000,10.070500,2.021097,0.000000,0.005378,0.056765
40812788.000000,0.120537,0.367143,2.027800,-0.935302,-0.063916,3.065831,-3.740344,-0.528049,8.786440,2.051000,9.564023,2.027751,0.000000,0.180563,-0.034667
40814788.000000,0.120804,0.366561,2.034090,-0.900148,-0.064981,3.044526,-3.183558,-0.672633,9.280363,1.957000,9.834257,2.034041,0.000000,0.193157,0.036901
40816788.000000,0.121216,0.365910,2.040504,-0.883104,-0.061785,3.023221,-2.932106,-0.043106,9.563246,2.004000,10.002739,2.040456,0.000000,0.125723,0.068411
40818788.000000,0.121594,0.365261,2.046929,-0.899083,-0.059655,3.028547,-2.932106,-0.043106,9.563246,2.004000,10.002739,2.046881,0.000000,0.126102,0.067762
40820788.000000,0.121886,0.364778,2.053333,-0.900148,-0.057524,3.020025,-3.602045,-0.436448,8.940005,2.005000,9.648259,2.053284,0.000000,0.170667,-0.017825
40822768.000000,0.121983,0.364499,2.056502,-0.891626,-0.054328,3.001915,-3.280546,-0.923187,9.370167,1.002000,9.970672,2.056453,0.000000,0.220191,0.029234
40824788.000000,0.122647,0.363626,2.065940,-0.866060,-0.058590,2.961435,-3.137758,0.237981,9.273179,3.006000,9.792549,2.065892,0.000000,0.096989,0.037450
40826788.000000,0.123294,0.363133,2.072328,-0.869256,-0.054328,2.984871,-3.694544,1.221337,9.314488,2.005000,10.094604,2.072279,0.000000,-0.007085,-0.011566
